_checksum,_id,name,official_name,citizen_names,start_date,end_date
1620de9bcb730f536c4124057ac6ac587d49de8ec897a7b57a79ce81285a1aeb995e,WOI,Woking,Woking Borough Council,,,
162052ad38bda4d8d12a989706cfb6afd161e8f8c0b602b409c5fc4f91739a81b82b,WOK,Wokingham,Wokingham Borough Council,,1905-06-20,
16209b36dd812b08727c9455b0a800d85a15750e905feb9ecfd4b0cab93d035c0379,WOR,Worcestershire,Worcestershire County Council,,,
162092ede1abe1af6ce0592b8225bc192105de58fbb347931cb369e5812431a471c5,WOT,Worthing,Worthing Borough Council,,1905-06-25,
1620131fbf6aceb1a9baf9ed303287d1f866ad39aa77ddc18c15a59ff024aa94780a,WOX,West Oxfordshire,West Oxfordshire District Council,,,
162006d30c1329ffd43b982430e5e6dde9513010fb68ac465ecbdd99c05d9b349943,WRL,Wirral,Wirral Borough Council,,1974-04-01,
1620d6f443354d8f2a4a7b8e670bee730091276b3a7673e3265b961d6ea7684f3a3f,WRT,Warrington,Warrington Borough Council,,1905-06-20,
162079ea62130d0b1914d5b15457a9566fa89355ca8499fddd3828016fdf921d5ca1,WSK,West Suffolk,West Suffolk Council,,2019-04-01,
16204a70f3c9d6eb5455a11fb40c00b8ebf345482310d70a1fcc60f3ab45902894b9,WSM,Westminster,City of Westminster,,,
16207e2ce518f5e9b8d1b10714084acff7c14e0d48e178e502ce936f954304664021,WSO,West Somerset,West Somerset District Council,,,2019-03-31
1620f9e81000ce5eeb3178b7fb61bf23928f0928daa5ad6670e7d880eb2ffc93daf2,WSX,West Sussex,West Sussex County Council,,,
162079c89babf0f95fe4f8e2c4d2e184d317186cf3ce27dea11a57ceac65c7e9ccba,WYC,Wychavon,Wychavon District Council,,,
162007996818b004209b86e29bf24dd2615346e733ea503c59e33e0935d55ed3d93c,WYE,Wyre Forest,Wyre Forest District Council,,,
1620714360be2776a27d59e04acdac3c23454031037f48a19f6f85edc90f33fa727e,WYO,Wycombe,Wycombe District Council,,,
1620cea0230866b36f03613fb3c8e07ef0ac2a9235c3ab1997926000aa5dd0e71fd4,WYR,Wyre,Wyre Borough Council,,,
1620b67a8a8db5345a9a10827b171710eeb371cd0be2697f6e6f1c3ae19ce15aaaeb,YOR,York,City of York Council,,1905-06-18,
